Country,QH_Configuration,Gov_Share,Ind_Share,Acad_Share,CS_Share,Int_Share,HBI,Civil_Society_Present,Dominant_Cross_Pair,TH_Space_Emphasis
DNK,Balanced,0.4340,0.1698,0.1509,0.0943,0.1509,0.9052,True,,
GBR,Balanced,0.4345,0.0828,0.1517,0.1310,0.2000,0.8964,True,,
KOR,Balanced,0.3333,0.2667,0.2333,0.0333,0.1333,0.8949,True,,
NLD,Balanced,0.1468,0.3211,0.3394,0.0459,0.1468,0.8924,True,,
JPN,Balanced,0.4434,0.0943,0.1887,0.0566,0.2170,0.8649,True,,
IRL,Balanced,0.3950,0.2101,0.2773,0.0084,0.1092,0.8279,True,,
FRA,Laissez-faire,0.4490,0.2653,0.2041,0.0000,0.0816,0.7707,False,,
AUS,Mixed,0.3396,0.2642,0.3208,0.0000,0.0755,0.7942,False,,
CZE,Mixed,0.4825,0.0979,0.2727,0.0140,0.1329,0.7837,True,,
ITA,Mixed,0.4796,0.0204,0.1224,0.0204,0.3571,0.7059,True,,
GER,Mixed,0.3108,0.0431,0.5200,0.0062,0.1200,0.6987,True,,
FIN,Statist,0.5158,0.0842,0.1579,0.0000,0.2421,0.7361,False,,
SVN,Statist,0.5939,0.0508,0.1726,0.0152,0.1675,0.7002,True,,
CAN,Statist,0.6224,0.0510,0.1531,0.0102,0.1633,0.6691,True,,
ESP,Statist,0.6053,0.0066,0.1645,0.0066,0.2171,0.6204,True,,
USA,Statist,0.8808,0.0066,0.0199,0.0000,0.0927,0.2755,False,,
