country,paragraphs,Knowledge Space,Innovation Space,Consensus Space,Public Space,Knowledge Space_density,Innovation Space_density,Consensus Space_density,Public Space_density,total
CAN,109,7,0,0,0,0.0642,0.0,0.0,0.0,7
CZE,41,3,15,0,0,0.0732,0.3659,0.0,0.0,18
ESP,94,31,0,6,0,0.3298,0.0,0.0638,0.0,37
FIN,66,15,0,0,0,0.2273,0.0,0.0,0.0,15
FRA,90,0,15,0,0,0.0,0.1667,0.0,0.0,15
GBR,116,40,0,0,0,0.3448,0.0,0.0,0.0,40
GER,275,57,1,0,21,0.2073,0.0036,0.0,0.0764,79
IRL,77,18,0,0,0,0.2338,0.0,0.0,0.0,18
ITA,210,66,0,0,0,0.3143,0.0,0.0,0.0,66
JPN,306,24,0,0,0,0.0784,0.0,0.0,0.0,24
NLD,226,1,0,0,2,0.0044,0.0,0.0,0.0088,3
SVN,145,23,0,0,0,0.1586,0.0,0.0,0.0,23
USA,97,68,0,0,0,0.701,0.0,0.0,0.0,68
